cotacaoCompra,cotacaoVenda,dataHoraCotacao
5.0308,5.0314,2021-06-18 13:11:28.289
5.0367,5.0373,2021-06-21 13:02:54.318
5.0172,5.0178,2021-06-22 13:04:33.754
4.9513,4.9519,2021-06-23 13:07:38.679
4.9271,4.9277,2021-06-24 13:11:26.580
4.92,4.9206,2021-06-25 13:05:48.514
4.9414,4.942,2021-06-28 13:06:23.426
4.9444,4.945,2021-06-29 13:03:53.546
5.0016,5.0022,2021-06-30 13:06:37.168
5.0049,5.0055,2021-07-01 13:03:46.579
5.0287,5.0293,2021-07-02 13:08:30.132
5.0743,5.0749,2021-07-05 13:03:50.569
5.1639,5.1645,2021-07-06 13:09:25.513
5.2322,5.2328,2021-07-07 13:06:38.600
5.2581,5.2587,2021-07-08 13:11:29.527
5.237,5.2393,2021-07-09 13:05:46.705
5.2233,5.2239,2021-07-12 13:05:40.687
5.1764,5.177,2021-07-13 13:09:24.310
5.0874,5.088,2021-07-14 13:03:27.052
5.0994,5.1,2021-07-15 13:09:28.656
5.0935,5.0941,2021-07-16 13:10:27.939
5.1972,5.1978,2021-07-19 13:06:31.319
5.2459,5.2465,2021-07-20 13:08:21.671
5.251,5.2516,2021-07-21 13:11:29.341
5.1972,5.1978,2021-07-22 13:06:20.960
5.1695,5.1701,2021-07-23 13:02:27.693
5.1857,5.1863,2021-07-26 13:09:24.808
5.1663,5.1669,2021-07-27 13:08:47.867
5.1521,5.1527,2021-07-28 13:11:25.461
5.0676,5.0682,2021-07-29 13:09:30.818
5.121,5.1216,2021-07-30 13:05:44.156
5.1373,5.1379,2021-08-02 13:02:33.944
5.2458,5.2464,2021-08-03 13:11:44.499
5.2085,5.2091,2021-08-04 13:08:24.432
5.1459,5.1464,2021-08-05 13:05:22.009
5.2404,5.241,2021-08-06 13:11:22.291
5.2768,5.2774,2021-08-09 13:03:18.998
5.2211,5.2217,2021-08-10 13:08:48.486
5.2007,5.2013,2021-08-11 13:06:20.370
5.2345,5.2351,2021-08-12 13:03:08.322
5.2468,5.2474,2021-08-13 13:04:27.621
5.2489,5.2495,2021-08-16 13:05:49.701
5.2579,5.2585,2021-08-17 13:10:47.981
5.3019,5.3025,2021-08-18 13:05:48.476
5.4174,5.418,2021-08-19 13:07:17.880
5.4268,5.4274,2021-08-20 13:10:39.797
5.368,5.3686,2021-08-23 13:10:34.583
5.3011,5.3017,2021-08-24 13:10:22.530
5.2459,5.2465,2021-08-25 13:10:40.424
5.2423,5.2429,2021-08-26 13:10:49.078
